run,tsolid,int_time,diff_time,diff_T,peakT,tmax,peak_coreT,tcoremax,tstrat_start,tstrat_remove,terode,fcond_t,fcond_T,tsolid_start,max_Rtherm,max_Rthermt,max_Btherm,max_Bthermt,max_Rcomp,max_Bcomp,Bn1,magon_1,magoff_1,magon_2,magoff_2,magon_3,magoff_3,Bn2,magon_4,magoff_4,magon_5,magoff_5,Bn3,magon_6,magoff_6,magon_7,magoff_7
,Myr,s,Myr,K,K,Myr,K,Myr,Myr,Myr,Myr,Myr,K,Myr,,Myr,T,Myr,,T,,Myr,Myr,Myr,Myr,Myr,Myr,,Myr,Myr,Myr,Myr,,Myr,Myr,Myr,Myr
1,773.6514677155723,2660.995137028396,1.1965335847574423,1520.08756187793,1524.6113637485414,1.2965768168423117,1524.7342137476155,1.9963374115412,1.2965768168423117,1.696440013813105,1.8964058130558035,265.1408560758067,1433.5253033153995,36.78443554827799,93.51889451779186,2.096303210783898,1.7270279454153397e-05,2.096303210783898,64.04845193743093,1.227069474759677e-05,11,1.8964058130558035,220.72150615904013,223.7204801366857,225.31993292476332,230.918017683035,232.61743627036748,220,1.8964058130558035,9.6937039531955,13.292472725909613,34.985051161874885,190,36.78443554827799,37.08433294601184,38.18395673770264,38.5838199346811
2,773.6514677155723,2728.1028405725956,1.1965335847574423,1520.08756187793,1524.6113637485414,1.2965768168423117,1524.7342137476155,1.9963374115412,1.2965768168423117,1.696440013813105,1.8964058130558035,265.1408560758067,1433.5253033153995,36.78443554827799,93.08518246097924,2.096303210783898,1.7330594970082054e-05,2.096303210783898,58.977694312735046,1.3266381549138748e-05,12,1.8964058130558035,206.5263626648512,209.92519983951618,211.42468682833893,216.72287418884608,218.3223269769237,220,1.8964058130558035,9.6937039531955,13.392438525151672,34.685153764141035,177,36.78443554827799,37.08433294601184,38.18395673770264,38.5838199346811
3,773.710811848954,2754.4746871367097,1.1959148444913386,1520.0284983767274,1524.614435362283,1.2959438236796452,1524.6886009448917,1.9956396520352149,1.2959438236796452,1.6957700113113994,1.9956831051272765,257.7368551915985,1431.2879787825598,371.33508050275964,89.07619587678967,2.0955961989431535,1.6113920111319025e-05,2.0955961989431535,64.55245039213636,1.1696460727746181e-05,2,1.9956831051272765,171.92176939414094,285.37245015017214,563.8513898737871,0,0,135,1.9956831051272765,9.392424123222666,13.490642546448147,33.18208228689256,133,371.33508050275964,371.4350370496812,373.03434180042706,373.2342548942703
4,773.710811848954,2824.3270137682557,1.1959148444913386,1520.0284983767274,1524.614435362283,1.2959438236796452,1524.6886009448917,1.9956396520352149,1.2959438236796452,1.6957700113113994,1.9956831051272765,257.7368551915985,1431.2879787825598,371.33508050275964,88.66308769874745,2.0955961989431535,1.6170197104851608e-05,2.0955961989431535,58.35234283597395,1.2952511951332122e-05,2,1.9956831051272765,171.6218997533761,285.37245015017214,563.8513898737871,0,0,135,1.9956831051272765,9.292467576314728,13.590599093356085,32.882212646176946,133,371.33508050275964,371.4350370496812,373.03434180042706,373.2342548942703
5,757.5077045468884,2902.0778592526913,1.1953447352476831,1520.009026225707,1524.6174874427593,1.295344888454068,1524.6339438870339,1.9948736254922526,1.295344888454068,1.6950755953330305,1.994940948772512,256.1785289230749,1431.2440032930376,535.9351652627503,84.51507736489822,2.194738978931734,1.496106508805449e-05,2.194738978931734,0.0,0,2,1.994940948772512,169.38210713873184,283.9049546700661,535.8352325860683,0,0,2,1.994940948772512,8.990160995898913,13.68699680174397,31.27514790408862,0,0,0,0,0
1,773.6514677155723,2302.687214861973,1.1965335847574423,1520.08756187793,1524.6113637485414,1.2965768168423117,1524.7342137476155,1.9963374115412,1.2965768168423117,1.696440013813105,1.8964058130558035,265.1408560758067,1433.5253033153995,36.78443554827799,93.51889451779186,2.096303210783898,1.7270279454153397e-05,2.096303210783898,64.04845193743093,1.227069474759677e-05,11,1.8964058130558035,220.72150615904013,223.7204801366857,225.31993292476332,230.918017683035,232.61743627036748,220,1.8964058130558035,9.6937039531955,13.292472725909613,34.985051161874885,190,36.78443554827799,37.08433294601184,38.18395673770264,38.5838199346811
2,773.6514677155723,2273.0349281080416,1.1965335847574423,1520.08756187793,1524.6113637485414,1.2965768168423117,1524.7342137476155,1.9963374115412,1.2965768168423117,1.696440013813105,1.8964058130558035,265.1408560758067,1433.5253033153995,36.78443554827799,93.08518246097924,2.096303210783898,1.7330594970082054e-05,2.096303210783898,58.977694312735046,1.3266381549138748e-05,12,1.8964058130558035,206.5263626648512,209.92519983951618,211.42468682833893,216.72287418884608,218.3223269769237,220,1.8964058130558035,9.6937039531955,13.392438525151672,34.685153764141035,177,36.78443554827799,37.08433294601184,38.18395673770264,38.5838199346811
3,773.710811848954,2423.169939958083,1.1959148444913386,1520.0284983767274,1524.614435362283,1.2959438236796452,1524.6886009448917,1.9956396520352149,1.2959438236796452,1.6957700113113994,1.9956831051272765,257.7368551915985,1431.2879787825598,371.33508050275964,89.07619587678967,2.0955961989431535,1.6113920111319025e-05,2.0955961989431535,64.55245039213636,1.1696460727746181e-05,2,1.9956831051272765,171.92176939414094,285.37245015017214,563.8513898737871,0,0,135,1.9956831051272765,9.392424123222666,13.490642546448147,33.18208228689256,133,371.33508050275964,371.4350370496812,373.03434180042706,373.2342548942703
4,773.710811848954,2430.888414011977,1.1959148444913386,1520.0284983767274,1524.614435362283,1.2959438236796452,1524.6886009448917,1.9956396520352149,1.2959438236796452,1.6957700113113994,1.9956831051272765,257.7368551915985,1431.2879787825598,371.33508050275964,88.66308769874745,2.0955961989431535,1.6170197104851608e-05,2.0955961989431535,58.35234283597395,1.2952511951332122e-05,2,1.9956831051272765,171.6218997533761,285.37245015017214,563.8513898737871,0,0,135,1.9956831051272765,9.292467576314728,13.590599093356085,32.882212646176946,133,371.33508050275964,371.4350370496812,373.03434180042706,373.2342548942703
5,757.5077045468884,2530.3816775720334,1.1953447352476831,1520.009026225707,1524.6174874427593,1.295344888454068,1524.6339438870339,1.9948736254922526,1.295344888454068,1.6950755953330305,1.994940948772512,256.1785289230749,1431.2440032930376,535.9351652627503,84.51507736489822,2.194738978931734,1.496106508805449e-05,2.194738978931734,0.0,0,2,1.994940948772512,169.38210713873184,283.9049546700661,535.8352325860683,0,0,2,1.994940948772512,8.990160995898913,13.68699680174397,31.27514790408862,0,0,0,0,0
6,757.5077045468884,2806.1831014448544,1.1953447352476831,1520.009026225707,1524.6174874427593,1.295344888454068,1524.6339438870339,1.9948736254922526,1.295344888454068,1.6950755953330305,1.994940948772512,256.1785289230749,1431.2440032930376,535.9351652627503,84.1231222608028,2.194738978931734,1.5013315797837372e-05,2.194738978931734,0.0,0,2,1.994940948772512,168.9823764318162,284.00488734679504,535.8352325860683,0,0,2,1.994940948772512,8.890228319178807,13.68699680174397,30.975349873937105,0,0,0,0,0
7,489.760736023406,1634.427770128008,0.7807021844394898,1520.1291615180592,1524.7768942800597,0.880702337646058,1524.828615484007,1.4802983979649333,0.880702337646058,1.2804330445254521,1.4803657212451928,170.0736741100292,1440.9463481101325,349.1460807002613,59.399409373373004,1.4802983979649333,1.2914378420633893e-05,1.4802983979649333,0.0,0,2,1.4803657212451928,124.59735612024883,186.6555483689038,349.04614802357935,0,0,1,1.4803657212451928,5.377672790046372,0,0,0,0,0,0,0
