run,radius/m,Tsolidus /K,Tm0 /K,Start time /Myr,Input endtime /Myr,max timestep /Myr,end time of solidifcation /Myr,cond_i,integration time/s,dr,output_t,viscosity
16,100000,1450,1600,1,10,0.000880827555105,9.99941513050331,8359,7.5736520590001,500,,
17,100000,1450,1600,1,10,8.80827555104572E-05,9.99994362703547,83583,78.5822839450002,,,
18,100000,1450,1600,1,10,0.000220206888776,9.99985554427335,33433,61.9528993599997,250,,
19,100000,1450,1600,1,5,3.52331022041829E-05,4.99997886013998,nan,792.702001202,100,3153600000000,
22,400000,1450,1600,1,400,0.000880827555105,399.999908396501,65676,2064.896887627,500,315360000000000,
23,400000,1450,1600,400,600,0.000880827555105,504.031019224013,1,537.758473423,500,315360000000000,
33,400000,1450,1600,1,1000,0.000880827555105,504.028285137849,65676,15.9434305000032,500,315360000000000,
34,400000,1450,1600,1,1000,0.000880827555105,504.028285137849,65676,16.658002174001,500,315360000000000,
35,400000,1450,1600,1,1000,0.000880827555105,420.77951124914,83639,14.248321259,500,315360000000000,
36,400000,1450,1600,1,1000,0.000880827555105,76.5494602288539,nan,3.20990667200022,500,315360000000000,
37,400000,1450,1600,1,1000,0.000880827555105,521.015044538177,64317,17.3293922400001,500,315360000000000,
38,400000,1450,1600,1,1000,0.000880827555105,646.726753198271,77915,21.8621330210008,500,315360000000000,
39,400000,1450,1600,3,1000,0.000880827555105,646.721108855298,75640,22.1259387399987,500,315360000000000,
40,400000,1450,1600,1,100,0.00017519660071,99.9999199327752,184391,89.5428310669995,500,315360000000000,
41,400000,1450,1600,1,500,0.00017519660071,499.999863647895,184391,179.355640852,500,315360000000000,
42,400000,1450,1600,1,1000,0.00017519660071,999.999924689244,184391,299.916944738999,500,315360000000000,
43,400000,1450,1600,1,2000,0.00017519660071,1999.99987157534,184391,539.993652501998,500,315360000000000,
44,400000,1450,1600,1,500,0.00017519660071,499.999863647895,184443,221.086883265001,500,315360000000000,
45,400000,1450,1600,1,1000,0.00017519660071,999.999924689244,207777,373.38771266,500,315360000000000,
46,400000,1450,1600,1,50,0.00017519660071,49.9998612696601,207777,82.7119178140001,500,315360000000000,
47,400000,1450,1600,1,40,0.00017519660071,39.9999896943176,209999,98.6434445959994,500,315360000000000,
48,400000,1450,1600,1,2,1.75196600710299E-06,1.9999994212963,nan,82.5320613870008,500,315360000000000,
49,400000,1450,1600,1,1.2,1.75196600710299E-06,1.19999918347286,nan,19.3643098520006,500,315360000000000,
50,400000,1450,1600,1,1.01,1.75196600710299E-05,1.00998620624049,nan,0.081419896001535,500,315360000000000,
51,400000,1450,1600,1,1.5,1.75196600710299E-05,1.49999357876712,nan,3.61002567899777,500,315360000000000,
52,400000,1450,1600,1,2,1.75196600710299E-05,1.99998715753425,nan,3.23911360799957,500,315360000000000,
53,400000,1450,1600,1,50,1.75196600710299E-05,49.9999839072806,nan,156.272551248,500,63072000000000,
54,400000,1450,1600,1,100,1.75196600710299E-05,99.9999900114155,3226705,293.816802236,500,63072000000000,
55,400000,1450,1600,1,10,1.75196600710299E-05,9.99998953576865,nan,30.8167251119999,500,63072000000000,
56,400000,1450,1600,1,10,1.75196600710299E-05,9.99998953576865,nan,30.643193074,500,63072000000000,
57,400000,1450,1600,1,10,1.75196600710299E-05,9.99998953576865,nan,31.988602144,500,63072000000000,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Dodds
57,400000.0,1450,1600,1.0,10,1.7519660071029935e-05,9.999989535768645,nan,30.722588317000145,500,63072000000000.0,Dodds
57,400000.0,1450,1600,1.0,10,1.7519660071029935e-05,9.999989535768645,nan,30.722588317000145,500,63072000000000.0,Dodds
57,400000.0,1450,1600,1.0,10,1.7519660071029935e-05,9.999989535768645,nan,30.722588317000145,500,63072000000000.0,Dodds
57,400000.0,1450,1600,1.0,10,1.7519660071029935e-05,9.999989535768645,nan,30.722588317000145,500,63072000000000.0,Dodds
57,400000.0,1450,1600,1.0,10,1.7519660071029935e-05,9.999989535768645,nan,31.663537842000096,500,63072000000000.0,Dodds
58,400000.0,1450,1600,1.0,15,1.7519660071029935e-05,14.999995402080163,nan,49.26674981499991,500,63072000000000.0,Dodds
