Meteorite,cr_yang_low,cr_yang_up,cr_623_low,cr_623_up,B_low,B_up,cr_975_mid,cr_975_err,cr_623_mid,cr_623_err,B_mid,B_err
,K/Ma,K/Ma,K/Ma,K/Ma,muT,muT,K/Ma,K/Ma,K/Ma,K/Ma,muT,muT
Marjalahti,7,8.2,1.4,4.4,0,0,7.6,0.6,2.9,1.5,0,0
Brenham,5.3,7.1,1.1,3.9,0,0,6.2,0.9,2.5,1.4,0,0
Springwater,4.4,5.8,0.5,2.9,14,30,5.1,0.7,1.7,1.2,22,8
Imilac,4,4.6,0.5,1.9,65,95,4.3,0.3,1.2,0.7,7.8,2.8
Esquel,2.7,3.9,0.4,1.4,49,79,3.3,0.6,0.9,0.5,5.5,2.1
,,,,,,,,,,,,
Notes:,,,,,,,,,,,,
cr_975 data is from Yang et. al. 2010,,,,,,,,,,,,
cr_623 data is from Maurel et. al. 2019. The Springwater point was from an email,,,,,,,,,,,,
Paleointensity data is from Nichols et. al. 2021 but Marjalahti and Brenham have been listed as zero since their paleointensities are within error of zero. Single rotation XPEEM uses the maximum estimates,,,,,,,,,,,,
