Meteorite,chondritic,Classification,measured_phase,rel_age_lower,low_age_source,lower_note,rel_age_upper,up_age_source,upper_notes,abs_age,abs_age_uncertainty,magnetised,strength_lower,strength_middle,strength_upper,nebula_correction,dynamo_on,possible_origin,radiometric,system,reference,age_reference,notes
,,,,Myr after CAIs,,,after CAIs Myr,,,Ma,Myr,,muT,muT,muT,,,,,,,,
Allende,TRUE,CV chondrules,chondrule,,,,40,both,I/Xe record combined with thermal modelling using low retentivity phase,,,TRUE,,,8,FALSE,TRUE,dynamo,FALSE,I/Xe,"Fu, R. R., Lima, E. A. & Weiss, B. P. No nebular magnetization in the Allende CV carbonaceous chondrite. Earth and Planetary Science Letters 404, 54–66 (2014).","Carporzen, L, B. P. Weiss, L. T. Elkins-Tanton, D. L. Shuster, D. Ebel, and J. Gattacceca. ‘Magnetic Evidence for a Partially Differentiated Carbonaceous Chondrite Parent Body’. Proceedings of the National Academy of Sciences 108, no. 16 (19 April 2011): 6386–89. ",The I/Xe system dates last alteration so field must have been on before then.
Vigarano,TRUE,CV chondrules,chondrule,3,radio,formation of fayalite,11,radio,,4560,4,TRUE,3,4,5,FALSE,TRUE,dynamo,TRUE,Mn/Cr on fayalite,"Shah, J. et al. Long-lived magnetism on chondrite parent bodies. Earth and Planetary Science Letters 475, 106–118 (2017).","Jogo, K., Nakamura, T., Noguchi, T. & Zolotov, M. Yu. Fayalite in the Vigarano CV3 carbonaceous chondrite: Occurrences, formation age and conditions. Earth and Planetary Science Letters 287, 320–328 (2009).","date aqueous alteration and then assume the remanence was acquired at that time inline with measurments of Kaba, Kathryn thinks this is unreliable"
CO chondrules,TRUE,CO chondrules,chondrule,1.7,radio,Al/Mg,3,radio,Al/Mg,,,TRUE,50,100,50,TRUE,FALSE,nebula,TRUE,Al/Mg,"Borlina, C. S. et al. Paleomagnetic evidence for a disk substructure in the early solar system. Science Advances 7, eabj6928 (2021)."," Kurahashi, E., Kita, N. T., Nagahara, H. & Morishita, Y. 26Al–26Mg systematics of chondrules in a primitive CO chondrite. Geochimica et Cosmochimica Acta 72, 3865–3882 (2008).",the strength given here is for the background nebula field. The intensity measured for the chondrules is half this 50+-25
CR chondrules,TRUE,CR chondrules,chondrule,3.5,radio,Al/Mg,4,radio,Al/Mg,,,TRUE,,,8,TRUE,FALSE,nebula,TRUE,"Hf/W, Al/Mg","Fu, R. R. et al. Weak Magnetic Fields in the Outer Solar Nebula Recorded in CR Chondrites. Journal of Geophysical Research: Planets 125, e2019JE006260 (2020).",,"GRA 95229, LAP 02342 upper bound is 8+-4 muT"
Allende,TRUE,CV matrix,bulk,5,radio,Mn/Cr for aqeous alteration of CVs,10,both,I/Xe record combined with thermal modelling,4559,,TRUE,20,60,,FALSE,TRUE,dynamo,FALSE,I/Xe,"Carporzen, L, B. P. Weiss, L. T. Elkins-Tanton, D. L. Shuster, D. Ebel, and J. Gattacceca. ‘Magnetic Evidence for a Partially Differentiated Carbonaceous Chondrite Parent Body’. Proceedings of the National Academy of Sciences 108, no. 16 (19 April 2011): 6386–89. ",,The Xe/I isotope system is confusing. Anchor for absolute age is Shallowater I think. 
Allende,TRUE,CV matrix,QDM,2.5,radio,I/Xe of pyrrhotite,3.5,radio,I/Xe of pyrrhotite,,,TRUE,40,122,,TRUE,FALSE,dynamo or nebula,TRUE,I/Xe,"Fu, R. R. et al. The Fine-Scale Magnetic History of the Allende Meteorite: Implications for the Structure of the Solar Nebula. AGU Advances 2, e2021AV000486 (2021).",,
Kaba,TRUE,CV matrix,bulk,4,radio,Mn/Cr for aqeous alteration of CVs,6,radio,Mn/Cr for aqueous alteration of CVs,4563.4,,FALSE,,,,FALSE,FALSE,,TRUE,"I/Xe for magnetite, Mn/Cr for fayalite","Gattacceca, J., Weiss, B. P. & Gounelle, M. New constraints on the magnetic history of the CV parent body and the solar nebula from the Kaba meteorite. Earth and Planetary Science Letters 455, 166–175 (2016).",,
Kaba,TRUE,CV matrix,bulk,6,radio,aqueous alteration,40,both,I/Xe record from Carporzen,,,TRUE,1.6,3.8,6,FALSE,TRUE,dynamo,FALSE,I/Xe (Carporzen),"Gattacceca, J., Weiss, B. P. & Gounelle, M. New constraints on the magnetic history of the CV parent body and the solar nebula from the Kaba meteorite. Earth and Planetary Science Letters 455, 166–175 (2016).",,
CO matrix,TRUE,CO matrix,bulk,2.7,radio,Al/Mg,5.1,radio,Mn/Cr of a similar meteorite that isn't a CO,,,FALSE,0,0,0.9,FALSE,FALSE,,TRUE,Mn/Cr,"Borlina, C. S., Weiss, B. P., Bryson, J. F. J. & Armitage, P. J. Lifetime of the Outer Solar System Nebula From Carbonaceous Chondrites. Journal of Geophysical Research: Planets 127, e2021JE007139 (2022).","Doyle, P. M. et al. Early aqueous activity on the ordinary and carbonaceous chondrite parent bodies recorded by fayalite. Nat Commun 6, 7444 (2015).","Use ALH 77307 and DOM 08006, age from Doyle et. al. (ref 5)"
